doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cg_0649_6018f94d,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CG-0649.pdf,DNV-CG-0649.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0402_a90b7609,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0402.pdf,DNV-CP-0402.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0253_b668c889,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0253.pdf,DNV-CP-0253.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0404_3fe514c0,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0404.pdf,DNV-CP-0404.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0572_a0c64e62,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0572.pdf,DNV-CP-0572.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0429_9031bdba,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0429.pdf,DNV-CP-0429.pdf,pending,3
mepc_mepc_mepc_84_14_proposal_for_a_new_output_to_amend_regulation_12_of_marpol_annex_vi_to_prohibit_the_reintr_china_048fab10,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-14 - Proposal for a new output to amend regulation 12 of MARPOL Annex VI to prohibit the reintr... (China).pdf,MEPC 84-14 - Proposal for a new output to amend regulation 12 of MARPOL Annex VI to prohibit the reintr... (China).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0509_9ca6d6be,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0509.pdf,DNV-CP-0509.pdf,pending,3
msc_msc_msc_111_4_2_report_on_the_audit_process_for_the_combined_bki_rectification_and_the_fourth_gbs_maintena_secretariat_74eb795f,MSC,GENERAL,data/raw_pdfs/MSC/MSC 111-4-2 - Report on the audit process for the combined BKI Rectification and the Fourth GBS Maintena... (Secretariat).pdf,MSC 111-4-2 - Report on the audit process for the combined BKI Rectification and the Fourth GBS Maintena... (Secretariat).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0630_6345c3a7,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0630.pdf,DNV-CP-0630.pdf,pending,3
